Rank	Frequency	UUID	Row Text
573	4	ba0a-4b3e-ff60-ec49	a stopwatch is a kind of tool for measuring time
574	4	6c6f-b690-6b57-aab6	gas is a kind of substance
575	4	fdba-70d0-fcc6-e529	eyes can sense ; detect light energy for seeing
576	4	d08c-6817-560e-4660	an earthquake changes Earth 's surface quickly
577	4	aa49-4312-5751-0a4e	cold environments usually have little food for animals
578	4	c13a-75d9-afb9-ad21	the lunar surface ; moon 's surface contains many craters
579	4	7409-4a52-a23a-0c5c	electrocution causes harm to an organism
580	4	1c5c-3f13-e713-63f5	paper is a kind of material
581	4	beca-88a5-c80c-50bd	planting crops is synonymous with growing crops
582	4	14a5-1229-3653-681c	a landslide is when water ; gravity rapidly moves rocks or soil downhill especially after a rain storm
583	4	32c6-adaa-af1c-f49f	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun
584	4	6cf8-4a91-b857-9203	food is a kind of resource
585	4	89b7-8583-941a-df9d	solar energy is a kind of heat energy
586	4	7f34-d679-9088-bc21	a good conductor is a conductor
587	4	d5e1-2384-26cc-edb9	an ice cube is a kind of object
588	4	e9db-4122-22ea-1d50	if a spoon ; an object is used to stir a liquid ; mixture then that spoon ; that object is touching that liquid ; that mixture
ERROR Could not find UID 5124-b03e-ff20-b4d6 (returning empty table row)			
589	4	5124-b03e-ff20-b4d6	
590	4	5a08-2415-0853-06c5	measuring is used for describing an object
591	4	4dcf-7536-2995-3a73	pollen is part of a flower for reproduction
592	4	769f-6117-1272-9b62	far is the opposite of close
593	4	211f-8a51-037c-704c	push is a kind of force ; application of force
594	4	80e7-ecfd-5d68-a0d3	a ruler is used for measuring the length of an object
595	4	9f3b-6ec5-eb1c-178d	reflecting light ; sound is the opposite of absorbing light ; sound
596	4	9a78-e47c-3ee1-6028	strong means high in strength
597	4	f704-bbf0-c1f5-b8ba	sleet is a kind of precipitation
598	4	9815-d368-af06-bf1c	a pebble is a kind of small rock
599	4	eea5-0a22-fd84-0a3b	sea means ocean
600	4	1868-70f2-364b-04e1	if a living thing dies then that living thing is dead
601	4	4d1f-ad79-3299-bfb4	a home is a kind of building
602	4	431d-1679-5bc8-6a2c	a tree can be replaced by planting a new tree
603	4	c14b-4971-7d32-d1d3	the stars in the night sky are very far away from the Earth
604	4	1e1d-6ed6-25e3-5f30	a plant is made of plant cells
605	4	6029-2646-fb11-8753	runoff contains chemicals ; fertilizer ; pollutants ; pesticides from cropland
606	4	0bb0-16b1-30de-d0e2	vehicles usually require gasoline to operate
607	4	72bd-5535-598e-82e8	a phase change is when matter ; a substance changes from one state into another state
608	4	6191-80db-d5e3-b23e	matter ; molecules vibrating can cause sound
609	4	a6b9-8323-ab01-cfe7	summer has hot temperatures ; weather
610	4	9580-9f11-5f23-3df4	a switch is used to start ; stop the flow of current in an electrical circuit
611	4	91bf-d72e-f4e5-1526	a stopwatch is used to measure time
612	4	73b8-5c7f-43f4-65e2	an part of an object is smaller than the entire object
613	4	cffc-a299-4321-b49d	pulling is a kind of motion
614	4	c0ad-4856-2d41-4fa9	oceans contains most of earth 's water
615	4	0e02-5e2b-3793-96d3	a mountain is a kind of landform
616	4	d54f-e502-fa51-788d	In the erosion process roots of plants are an inhibitor
617	4	8697-e00d-4b6f-7a62	little is similar to decrease
618	4	2889-3edc-095a-6d6b	sunlight produces heat
619	4	4a84-1ddc-0a0c-3839	an organism is made of organic matter
620	4	968b-298f-e403-e5a6	looking like is similar to camouflaging as
621	4	33c7-1992-4659-d284	a pan ; frying pan is used for cooking food by heating food in it on a stove
622	4	eb82-cc9b-b653-15f8	to cause means to be responsible for
623	4	7726-d9fd-f431-db04	sound is a kind of sound energy
624	4	ddca-37d6-9e7b-d216	the gravitational pull of the Moon on Earth 's oceans causes the tides
625	4	26fe-ab70-b4a4-fe79	chlorophyll is used for absorbing light energy by plants
626	4	cb4c-5229-e5b9-6408	hail is a kind of precipitation ; ice
627	4	10fd-451d-ea1e-99fa	cutting down a forest means cutting down the trees in that forest
628	4	a341-f03e-05a7-a158	a barometer is used to measure air pressure
629	4	f742-384b-744c-10a9	light is a kind of energy
630	4	cf90-582c-6769-2d0a	The North Pole is located in the northern hemisphere
631	4	1868-9bad-b9cc-1302	skeletal system is made of bones
632	4	b0d4-928e-e799-54a6	fossils are formed when layers of sediment cover the remains of organisms over time
633	4	7386-ad73-8eef-4980	migration is an instinctive behavior
634	4	68c7-53c9-4730-b283	echo is when sound reflects off of a surface
635	4	93fd-6a6f-7782-77d1	shape is a property of an object
636	4	733b-ce8a-669c-e222	a mirror has a shiny surface
637	4	317e-c441-1f21-0244	a stem is a source of support for a plant
638	4	8cbb-8bf8-bfbd-681e	melting is when solids are heated above their melting point
639	4	2ad2-04a7-e3e7-916a	An example of migration is birds flying south in the winter
640	4	f294-6f62-2e34-4af0	a mineral is a kind of solid ; natural material
641	4	782f-7770-b8be-f40e	a mouse is a kind of animal
642	4	02c3-9c98-38d9-3711	matter with variable volume and shape assumes ; expands to fill ; takes the shape and size of its entire container
643	4	fbcb-2151-6afa-c1c5	landfills have a negative impact on the environment ; communities
644	4	2107-bbdb-3936-d0cb	when a river floods , that river deposits soil ; sediment in flood plains
645	4	e28b-677c-4a92-cf3b	erosion is a kind of change
646	4	1015-4572-2293-d185	taking in something means receiving ; absorbing ; getting something
647	4	470c-0013-8541-1f5a	trash is synonymous with waste
648	4	e044-428c-b438-7117	muscles push ; pull bones to move the bones
649	4	372a-9e36-7f56-af5c	a renewable resource can be replaced
650	4	bb60-4e0b-60fd-ba84	a pulley is a kind of simple machine
651	4	f5db-3d81-10c5-e292	as roughness of a surface increases , friction will increase
652	4	2c44-c2fa-bff1-5946	condensation is when change from a gas into a liquid by reducing heat energy
653	4	23fc-b5e5-a912-d966	the senses are used for making observations
654	4	22a2-1029-702e-a29a	a planet is a kind of celestial object ; body
655	4	0b85-1757-0b30-a8a2	migration is a kind of adaptation
656	4	dc9f-1fff-15e4-352a	hunting ; scavenging is a kind of skill
657	4	da13-6af7-4533-d9ca	blue is a kind of color
658	4	ea91-5664-cefc-e7ee	a mushroom is a kind of fungus
659	4	dbc7-1c37-35fd-e1f8	seed dispersal is when the seeds of a plant are moved ; are carried ; are spread ; are dropped ; from the parent plant to another area
660	4	08ba-3817-d41e-1db2	a mountain is made of rocks ; soil
661	4	3a0f-40e0-b6ef-bea4	staying warm means keeping warm
662	4	aefd-91ae-8cfa-8c9e	providing support is a kind of function
663	4	298a-b710-adc5-7d76	an organism 's environment affects that organism 's acquired characteristics
664	4	e215-a276-5a10-38a1	completing a circuit causes electricity ; electric current to flow through that circuit
665	4	7119-02f2-0acf-3280	An example of seed dispersal is is an animal hiding ; gathering ; burying seeds
666	4	34c2-c483-57d1-543e	south is a kind of direction
667	4	9331-ece9-c87a-1358	where something comes from is a source of that something
668	4	5c38-cb22-09a4-2287	a roll is a kind of movement
669	4	9d48-4f8c-09fc-ea0d	a lever is a kind of simple machine
670	4	d013-ec1c-88f4-fae9	evaporation is a stage in the water cycle process
671	4	7a68-d438-ce92-5fb1	an anemometer is used to measure wind speed
672	4	d257-69b5-a1b9-f7e7	rising is a kind of motion
673	4	60e9-1f2b-145c-00bd	hiding means visibility ; ability to be seen decreases for camouflage
674	4	7892-f43a-8f12-2a8d	black is a kind of color
675	4	3aef-09ab-a751-dd44	oceans cover 70% of the surface of the earth
676	4	4a90-d4de-70aa-2e38	a mirror reflects light
677	4	551a-ecdb-38e6-4b09	the amount of daylight is greatest on the summer solstice
678	4	eb81-1c0b-6039-ee96	a computer is used for communication ; finding information
679	4	ad64-e231-181e-0684	an anemometer is a kind of instrument for measuring wind speed
680	4	401b-d6f7-6bc5-3718	protecting is a kind of function
681	4	298b-ca93-e80a-a32d	removing a forest means cutting down the trees in that forest
682	3	2171-5edd-a3d0-f2c2	species means a group of like organisms
683	3	b08a-c1bc-23ee-1815	an animal usually requires a warm body temperature for survival
684	3	14c4-c640-5d74-79a3	juice is a kind of liquid
685	3	ff3b-674b-328e-5e4f	eyes are a part of a human for seeing
686	3	e9b3-b8bf-2377-2ad4	die out means become extinct
687	3	9ede-6c4b-43f2-6da3	a chicken is a kind of bird
688	3	b19d-b086-7090-2115	a producer is a source of energy for consumers
689	3	50a8-996b-b8bf-e107	a toaster is a kind of electrical device
690	3	c7b7-2fdc-e793-309e	the arctic is a kind of environment
691	3	2a18-601d-51f0-3abc	a field is a kind of environment
692	3	2479-774e-9ef8-d595	action means activity
693	3	c082-5c74-d788-63a8	can be means able to be
694	3	69d1-9751-6050-3017	an instrument is a piece of equipment
695	3	6c86-9d15-6ab9-f4c3	texture means how an object feels
696	3	ab9f-bddf-b450-6260	a barometer is a kind of instrument for measuring air pressure
697	3	52f6-322b-a00b-cf49	controlling is a kind of function
698	3	ba3c-7ba2-c37a-cb76	poison causes harm to living things ; organisms
699	3	6612-fa0b-cd41-ce24	if food is cooked then heat energy is added to that food
700	3	a2ff-b2c1-f462-2fdb	studying is similar to observing
701	3	b393-8aa8-f654-e6a9	recyclability is a property of a material and includes ordered values of nonrecyclable ; recyclable
702	3	740e-3d3d-bed5-6528	an inexhaustible resource is a kind of renewable resource
703	3	ddb0-b569-92c2-503c	once per means every
704	3	a8dc-5ad8-3e2b-3e2a	a renewable resource is a kind of naturally replaced resource
705	3	902d-2137-8776-7a13	a white object reflects all visible light
706	3	ba20-8706-42c6-1f9b	width is a property of size ; shape and includes ordered values of narrow ; wide
707	3	b789-c5df-3b5c-272b	June is during the summer in the northern hemisphere
708	3	f2f7-cd7a-78d2-7f0b	if an object is black then that object absorbs all visible light ; heat
709	3	f672-4bbb-6fff-373c	sound can travel through air
710	3	9eed-91be-c441-efa3	receive means get
711	3	3fb1-78ec-77f8-d713	rust forming is a kind of chemical change
712	3	39b0-5f60-9b23-8892	when a switch in a simple series circuit is closed , electricity will flow through the circuit
713	3	5d86-6036-9920-2c88	remains mean parts of a dead organism
714	3	3cff-4d77-9e27-7dc5	carbon dioxide can be found in the air
715	3	65ea-394c-44cb-2b42	rough is the opposite of smooth
716	3	dfda-0bf5-6a91-6d09	aquatic animal means water animal
717	3	571a-0a31-ad7b-e097	breathing is when a gill converts from oxygen in water into oxygen in blood
718	3	8fca-6905-ae31-51ce	if a liquid disappears then that liquid probably evaporated
719	3	296e-c3bd-d88a-2edf	as the amount of rainfall increases in an area , the amount of available water in that area will increase
720	3	fb26-f5aa-51d2-7866	sand dunes ; arches are formed by the wind transporting and depositing sand
721	3	400d-d80d-09a3-3206	break down means change from a whole into pieces
722	3	61f9-cfd2-20f5-992d	a child is a kind of young human
723	3	1c42-416a-fc92-2b03	humidity is the amount of water vapor ; moisture in the air ; in the atmosphere
724	3	ddb4-26f4-5edb-1f07	an organism is a source of organic matter
725	3	213b-79e4-47ec-0581	a cloud is a kind of weather
726	3	7376-0d97-1227-bd6a	dry environments contain little water
727	3	e2f0-90c4-cd00-c5a7	stay the same means not changing
728	3	e448-3228-b949-a107	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant
729	3	b2ac-b8b2-5d1c-40b8	the summer solstice is on June 21st in the northern hemisphere
730	3	70a1-9e7d-18aa-7495	something dangerous can cause harm
731	3	de82-6668-2baf-1817	removing waste is a kind of function
732	3	a444-d39d-478b-b605	mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal
733	3	4347-84dc-10ce-8007	precipitation is when rain ; snow ; hail fall from clouds to the Earth ; ground
734	3	fa8f-6c8e-1364-1b72	melting point means temperature at which a solid melts ; above which a solid melts
735	3	0629-5e75-b18c-0675	paper is recyclable
736	3	ca03-f52b-b637-957b	spotted is a kind of color pattern
737	3	785b-6d16-8fc8-ee28	eating an animal ; a plant means killing that animal ; that plant
738	3	8317-e088-279b-ba21	high tide is a stage in the tide cycle process
739	3	8083-d6d0-9cba-da83	snow is a kind of precipitation
740	3	d691-82fb-2145-80e4	a hand is a kind of object
741	3	891a-752f-b9c8-25e1	chemical splashing can cause harm to humans ; to the eyes
742	3	e5c0-79e6-37a7-4b77	larger ; bigger is the opposite of smaller
743	3	c491-9f0f-8947-cd1b	natural gas is a source of heat by burning
744	3	b077-71d0-b2cf-4b5c	get rid of means eliminate ; remove
745	3	462d-e871-6c8b-dd48	if there is a loss of something then that something decreases
746	3	f024-43c1-e400-3c3d	generate means produce
747	3	891f-4f5c-91a2-bd31	fire gives off light ; heat ; smoke
748	3	e13e-7a37-14b2-8e23	a tiger is a kind of animal
749	3	7762-fb32-6a1f-62ec	the kidney removes ; filters cell waste ; byproducts from the blood
750	3	f1b0-1ed6-289e-c065	chloroplast is a part of a plant cell
751	3	a67b-a673-e85b-6310	the ocean contains large amounts of salt water
752	3	e565-87e6-6f00-1598	the sun sets in the west
753	3	6937-c405-6853-efb2	a population is made of one type of organism in an area
754	3	268d-a671-9d83-031a	a table is a kind of object
755	3	69e9-672f-1f1c-84a1	chemical splashing sometimes occurs during experiments
756	3	cb3b-8b0b-8cfe-a3e2	a new moon is a kind of phase of the moon
757	3	1310-8acf-1fa5-d8db	a butterfly is a kind of insect
758	3	4274-6c15-d627-27b7	discovering something usually requires seeing that something
759	3	8bb3-c62b-91dc-4004	bark is usually brown in color
760	3	4480-75c2-5b75-c32a	a plant requires sunlight to grow
761	3	cc37-fd38-b39c-7eb2	a sea turtle is a kind of animal
762	3	6de6-2fbd-0113-0492	transporting is a kind of function
763	3	457d-1a26-5f9e-04e6	an earthquake causes the ground to shake
764	3	2b4c-4963-4547-c62d	if something ; an invention ; a discovery is invented ; discovered then that something ; that invention ; that discovery can be used
765	3	e5ad-f4c8-aca4-466f	fruit is a part of a plant ; tree
766	3	8fae-9711-61b9-fce8	a fork is a kind of object
767	3	7e9a-fec3-cac8-51bb	diamond is a kind of mineral
768	3	69b4-687c-33bd-2f27	cooking causes a chemical reaction
769	3	beb5-0b99-d9ac-b8e5	finding something requires sensing that something
770	3	0d83-db1e-d92b-0bf0	cloudy means the presence of clouds in the sky
771	3	e337-f5c8-75aa-81b6	a flower is a kind of plant
772	3	b504-fe0c-2e70-84b4	a source of heat can be used to heat something
773	3	ec04-9eb8-f263-13ea	flooding is a kind of change
774	3	af84-b2e1-3d77-58f9	spring is a kind of season
775	3	e58b-6fd8-4321-1a69	feeling is when an living thing senses through touch
776	3	2ca8-b3c1-6ebc-f1a0	as moisture of an object decreases , the friction of that object against another object will increase
777	3	de25-e9d6-aced-d88e	device means tool
778	3	9568-cc75-424d-e775	atmosphere means air
779	3	1eeb-eb2c-909d-8762	studying fossils is used to learn about organisms from long ago
780	3	fe6e-84fa-d289-aee9	a car is a kind of object
781	3	39e2-fb06-b946-62df	December is during the winter in the northern hemisphere
782	3	7ba5-ac67-433e-b356	a puppy is a young ; baby dog
783	3	197a-5152-85d4-6ed5	a landform is a kind of object
784	3	ce7e-f24a-8088-35e6	the sidewalk is a kind of object
785	3	9816-ffa6-2260-9fc1	take away means decreasing
786	3	fb40-15de-e88b-9743	waves are made of moving water
787	3	2702-7db2-6eb1-e03f	an animal cell is a kind of cell
788	3	f881-bd1d-4ff7-700f	as the use of a resource decreases , the length of time that resource will be available increases
789	3	4e89-3fff-95dc-573e	a crack is a kind of opening
790	3	7435-65b5-4a59-89b4	In the food chain process fungi have the role of decomposer
791	3	3b62-4057-84c9-7743	omnivores eat plants ; animals
792	3	0f63-0b4e-b0a3-6638	resources becoming available has a positive impact on the things that need those resources
793	3	c083-9545-9c5e-f943	a plant 's roots slowly break down rocks as the roots grow
794	3	3a14-9cd4-c11b-d164	a change is a kind of event
795	3	8a7c-8cdf-1a2d-225e	to be a vehicle for is a kind of function
796	3	d298-28e7-40fc-3b25	an eyeglass lens is often made of glass
797	3	ee86-88ae-2535-1a42	stop ; stopped means zero ; 0 ; no speed
798	3	fd7f-e7b7-79fa-6ff9	friction causes the speed of an object to decrease
799	3	824e-1bf6-29b5-9624	the sun causes water to evaporate more quickly by adding heat
800	3	3352-8265-75b0-3355	a biofuel is a kind of alternative energy resource
801	3	bcc7-8811-5dcd-6e0f	a tree contains wood
802	3	e36b-5464-c253-5b04	damage means harm
803	3	86c1-8ea4-6a5c-6283	water is an electrical ; electric energy ; thermal ; thermal energy conductor
804	3	4181-3ee0-c35b-5e30	the mass of a planet causes the pull of gravity on that planet
805	3	2913-c482-da7e-b2f6	a beach is a kind of habitat ; environment
806	3	cc3c-b438-6a44-57f6	the tide cycle regularly occurs twice per day
807	3	0e13-f49d-f3ee-6cd6	fur is a covering around the body of an animal
808	3	e2d6-bafd-aaaa-efd3	matter is made of molecules
809	3	419c-cd03-a464-39af	birds ; some animals are a vehicle for spreading the seeds of a plant
810	3	e16d-34f6-506f-e5b0	swimming is when humans ; animals can move in water
811	3	63b4-4d77-7768-da8c	amount of daylight means length of daylight
812	3	185e-29ab-4975-8d8b	wind is a source of energy
813	3	abd9-cbba-5137-2c93	rapidly means quickly
814	3	08e0-810a-daa2-5a48	a leaf is a kind of object
815	3	a93e-05d1-02c8-7f9f	genes are a vehicle for passing inherited characteristics from parent to offspring
816	3	720a-4826-a639-3a9b	if a habitat is removed then that habitat is destroyed
817	3	af33-4409-5f16-cd4c	rock is a kind of nonliving thing
818	3	73ed-c126-9663-1012	to carry means to transport
819	3	bef0-f566-d2cd-a523	using a raw material sometimes requires absorbing that raw material
820	3	98b6-2bc9-0f82-84f9	flexible means high flexibility
821	3	3d1b-c195-8dca-4587	dropping something causes that something to fall
822	3	fc8a-1dc7-a746-de58	an environment is a kind of place
823	3	606d-9382-a8e0-7000	a producer produces its own food
824	3	9bc8-f1da-ee78-f8e5	nuclear reactions in stars causes stars to produce light ; energy ; nuclear energy
825	3	8bd2-dcf4-9b89-5e77	events occur at a specific place ; at a specific time ; with a specific frequency
826	3	0671-af0e-d6f3-eacf	when something breaks , a crack may form in that something
827	3	a7e7-4c34-fac1-a502	a freezer is cool ; cold in temperature
828	3	c1be-dd2a-153b-a1ee	playing a drum means banging ; hitting a drum
829	3	8370-394e-7d79-4c14	a cell is a kind of object
830	3	2b90-a4f5-326a-d34f	seed dispersal is when the seeds of a plant are moved from the plant to a new environment
831	3	b7b1-1f23-bd44-0112	removing a forest means cutting down a forest
832	3	1ef5-5d4e-fdf8-9d2a	living things can all reproduce
833	3	4ae9-5a73-3f04-48f7	a fungus is a kind of living thing
834	3	fec7-efec-ee12-537e	if something is made of something ; a material then that something contains that something ; that material
835	3	9963-e79f-4516-551a	farming is a kind of process
836	3	12b0-e9bb-c84e-6a42	as a source of light becomes closer , that source will appear brighter
837	3	d068-9891-46a3-e999	Matter in the solid phase has definite shape
838	3	0e96-d216-e3de-ce65	a flashlight emits light
839	3	a423-40e8-3886-4df5	the moon reflects sunlight towards the Earth
840	3	ff68-4699-0671-f8b7	to make something easier means to help
841	3	7c09-899f-1401-2b64	erosion causes a river to become deeper and wider
842	3	eee7-145c-8532-ac27	using a car causes pollution
843	3	55b1-a769-b2b4-d023	wood is a renewable resource
844	3	9713-a39a-3a6d-fee6	to combust means to catch fire
845	3	e827-2672-6e8f-f977	variable means able to change
846	3	686d-e4be-a123-314f	gills are a part of a fish used for breathing water
847	3	757d-cd70-0857-0d35	measuring the hardness of minerals requires scratching those materials
848	3	1fc9-87b3-4b09-6451	erosion of soil has a negative impact on the environment ; soil quality
849	3	518b-ce25-7fb9-adfb	break apart means break down
850	3	0fb6-467a-43af-1af8	building usually requires cutting down trees
851	3	5733-18d0-8191-c1ce	insulator means good insulator
852	3	b02a-dae3-93ce-c2b7	a tree is a source of shelter ; food for birds ; animals in an ecosystem
853	3	a429-ec06-2e2a-f6f9	a ruler is a kind of tool for measuring length
854	3	8129-78ea-abe4-f382	an earthquake is a kind of natural event
855	3	fa7e-23e0-7d6f-6d2b	soil and sediment deposited by a river are usually high ; rich in nutrients
856	3	3d03-670e-3580-8f82	cooking food requires adding heat energy
857	3	6903-1d34-3271-a6b8	color is a kind of physical ; visual property
858	3	368d-e93c-2b60-3348	landslides often occur on mountains
859	3	29a1-5acf-45b5-3b06	state means form
860	3	b24b-be1d-9e0d-4037	plastic is a kind of material made by humans
861	3	182e-8760-e878-1751	storm is a kind of weather ; weather event
862	3	ff67-56ea-3f47-20c2	cropland is used for farming by humans
863	3	36f6-e94f-8780-1897	melting is a kind of process
864	3	dd64-2412-f733-7659	to create means to make
865	3	88b6-8bff-95aa-75e1	a cell nucleus is a part of a cell
866	3	dda3-c20d-4cc2-2323	a desert environment has low rainfall
867	3	21f2-7587-e5e3-e55c	length is a part of size
868	3	8f51-a7cd-6829-c91f	frozen means solid
869	3	c340-79fe-20a6-026a	spring has warm temperatures ; weather
870	3	da4f-8a91-c9d9-0eab	a computer is a kind of tool
871	3	b753-a285-8304-024a	speed is a measure of distance travelled over time ; divided by time
872	3	ab06-c1d9-7d2f-2f01	to work means to function
873	3	de78-b97b-5963-fb87	a hare is similar to a rabbit
874	3	80ed-85da-37fe-1633	period of daylight is synonymous with amount of daylight
875	3	bccb-923d-9495-c7af	a flame are a part of a fire
876	3	f461-ef68-36cf-0f91	water vapor cooling causes that water vapor to condense
877	3	bbf1-262a-c774-3f47	the sun is the source of energy for physical cycles on Earth
878	3	31b1-33e5-a71c-0f61	a drought is a kind of slow environmental change
879	3	9a54-fdc1-b863-633a	winter is when a hemisphere is tilted away from the sun
880	3	b47d-ee7e-9ebb-f9db	coal is used to produce electricity by burning in coal-fire power stations
881	3	cd12-aac7-4181-607b	thickness is a measure of how thick an object is
882	3	f487-43a6-3837-b86b	dark is the opposite of light
883	3	d9e0-5f0a-e26c-d0e8	some birds are predators
884	3	4ba9-2d5a-0284-2882	an electrical device requires electricity to turn on
885	3	7fff-260d-92e0-8f87	erosion is a kind of process
886	3	787c-b7eb-9067-f7f1	made up of means contains ; made of
887	3	e1e4-0797-e545-e336	hunting is when an animal kills another animal to eat that animal
888	3	c814-78ab-6951-9f93	plant requires seed dispersal for reproduction
889	3	0259-62d6-90d1-5285	a light bulb converts electrical energy into light energy when it is turned on
890	3	f297-a722-c60d-7be0	meters ( m ) are a unit used for measuring length ; distance generally used for values between 1 and 1000
891	3	5307-2d90-79a8-14af	the amount of daylight is least on the winter solstice
892	3	a65f-d177-962c-f0fe	logging is when humans cut down trees ; forests for wood
893	3	7828-f424-7e86-a420	humans changing animal habitats usually causes harm to those animals
894	3	8160-3018-c7df-ea68	nuts are a kind of fruit
895	3	1456-98fe-3171-af46	nonrenewable resources forming occurs over a period of 300000000 years which is considered a very long time to a human
896	3	c760-71d8-d5c0-0ffb	a line graph is used for showing change ; data over time
897	3	9b09-3c82-e0da-574f	a refrigerator is used for keeping food fresh for a long period of time
898	3	4013-87f5-6cc4-127f	sound means sound energy
899	3	b018-4375-d391-cb98	the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year
900	3	9298-f573-0659-38d2	a wire is a part of an electrical circuit for conducting electricity
901	3	93f3-4dd8-30f7-de3f	an eyeglass lens is a kind of object
902	3	d104-d5d8-6378-fe3a	as force exerted on an object increases , distance travelled will increase
903	3	e6ce-9a90-4900-9861	a sidewalk is located outside
904	3	1b40-3366-53ff-d094	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface
905	3	d576-0ead-0543-9136	a wire is a kind of object
906	3	c01f-8454-a55a-ac57	a food preference is a kind of preference
907	3	2edb-1e09-a137-4362	the circulatory system brings oxygen from the lungs to the rest of the body
908	3	e288-5cf7-f60d-4e8d	shortest means least ; smallest in length
909	3	00a7-56fc-3c22-e6f2	an apple tree is a kind of plant
910	3	fa82-e6b0-0b60-b7ce	loss is similar to removal
911	3	ba9c-311b-f2d0-caa9	killing means changing a living thing from alive to dead by harming
912	3	5212-c2af-5c9e-8173	fog is formed by water vapor condensing in the air
913	3	8641-2ccd-4c11-a122	beneficial means helpful
914	3	b85c-d197-cb03-a4f1	a can is a kind of object
915	3	e258-cdba-6488-1460	lower means less
916	3	bdbf-34c0-8ec2-7e7a	the ground is at the bottom of an area
917	3	1b18-2bc7-5809-6490	a source of something supplies that something
918	3	7ab6-d0b1-eac4-a2a9	a sheet of sandpaper is a kind of object
919	3	8489-9ffe-b585-3aaf	centimeters ( cm ) are a unit used for measuring length ; distance generally used for values between 1 and 250
920	3	f116-778d-7f8a-6ec6	growing is a kind of process
921	3	122e-b36b-0183-80c7	hours are a kind of unit for measuring time
922	3	8a35-c04c-91c8-dfde	when the season changes , the amount of daylight will change
923	3	d1b6-8301-bd8c-c627	a drum is a kind of musical instrument
924	3	a036-70b7-7cb6-d950	a trunk is a part of a tree for supporting the tree
925	3	49e7-9112-fe19-cbb8	if a container contains something then that container touches that something
926	3	7e81-184a-3132-e57b	the arctic environment is white in color from being covered in snow
927	3	48a7-5d3b-ade1-3644	a hand is a part of the body
928	3	825b-a440-75bd-3001	if a human is on a rotating planet then other celestial bodies will appear to move from that human 's perspective
929	3	68cb-62b0-32a3-30e2	sedimentary is a kind of rock
930	3	b53f-7ff9-3341-cd62	preferences are generally learned characteristics
931	3	39e6-6d8b-2d69-786c	length of time means period of time
932	3	dff5-88e0-55c8-e6a6	electricity sometimes is used for heating buildings ; substances
933	3	866b-5e77-f131-2b80	volume is a property of matter
934	3	849d-06ff-794e-6880	all cells perform cellular respiration
935	3	6188-73e6-6db4-bfea	a snake is a kind of animal
936	3	74d3-98e4-9bf5-7aa1	steam ; water vapor is a kind of water above 100 degrees celsius
937	3	3033-d050-eb10-b696	renewable is the opposite of nonrenewable
938	3	fe39-10c4-9dd9-d745	moving changes position
939	3	c154-aa1a-96fe-291c	the digestive system breaks food into nutrients for the body
940	3	faab-3e71-cd3d-575c	to see means to look
941	3	2aff-8cb6-a4f9-5fd9	staying warm has a positive impact on an animal 's survival ; health
942	3	2fe0-4073-c775-8925	condensing causes a liquid to form
943	3	a659-d135-c6bf-7724	night is low in light ; in visibility
944	3	2f27-9c3b-1811-e537	advantage has a positive impact on something
945	3	4ee7-8c52-99b5-7674	runoff is when cropland water enters ; runs off into bodies of water
946	3	a4f3-2cdc-e2e8-292d	a toaster converts electrical energy into heat energy for toasting
947	3	e70b-e515-02a3-8958	the moon revolving around ; orbiting the Earth causes the phases of the moon
948	3	75ef-1899-b218-e7e9	Florida is a state located in the United States of America
949	3	7ec2-c1a0-5e6d-55eb	a fish is a kind of scaled animal
950	3	90a3-648e-1622-edc2	New York ; New York State is a state located in the United States of America
951	3	3f31-824e-6866-4db7	In the cellular respiration ; respiration process carbon dioxide is a waste product
952	3	ab25-5770-3344-605e	wearing safety goggles is a kind of safe practice in a laboratory
953	3	5949-8ca0-0ddf-811b	summer is when a hemisphere is tilted towards the sun
954	3	19c9-47bf-de91-1f2e	amount of water in a body of water increases by storms ; rain ; glaciers melting ; snow melting ; ice melting
955	3	1910-6fcf-a49a-634a	the skeletal system protects internal organs
956	3	27bb-0f7f-8143-a8d1	an object ; material ; substance comes from that object or material 's source
957	3	9d53-7320-d186-07d9	causing is a kind of affecting
958	3	9151-af14-f370-f540	sand is similar to soil
959	3	87c6-f5c1-2d8f-e14a	speed is a measure of how fast an object is moving
960	3	00a4-b16a-aa4d-893d	a light bulb is a kind of electrical device
961	3	497d-88e3-9e63-877c	weather is a property of a environment
962	3	05fc-2dd1-7863-00f2	thickness is a property of an object and includes ordered values of thin ; thick
963	3	0d35-1653-d1f5-29f2	a predator is a kind of enemy to its prey
964	3	724f-c315-2d06-364b	changes in an environment cause animals ; plants to adapt to survive
965	3	1893-0c1c-dddc-e8c4	using a gasoline engine requires burning gasoline
966	3	31c6-d095-6939-21a9	nutrients are a source of energy for living things
967	3	5be6-58b4-ec52-40b2	the sun rises in the east
968	3	3144-f8f2-43a4-8712	mechanical energy is a kind of energy
969	3	b743-7732-00bc-dc06	refracting sunlight ; light causes sunlight ; light to split into different colors
970	3	568b-892b-0284-5037	low tide is a stage in the tide cycle process
